Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Firearm Used Flag,Location
KC19038359,05/24/2019,12:41,01/31/2019,14:00,,,Assault (Aggravated),13A,Aggravated Assault,113,E TRUMAN RD and CHERRY ST,KANSAS CITY,64109,,CPD,N,SUS,B,M,,true,
KC19038381,05/24/2019,13:46,05/24/2019,13:42,05/24/2019,15:05,Eluding / Resisting a Lawful Stop,,,223,E 55TH ST and SWOPE PKWY,KANSAS CITY,64130,PJ4503,MPD,N,SUS VDR,W,M,34,false,
KC19038510,05/24/2019,20:57,05/24/2019,20:57,,,City/Municipal Warrant Arrest,,,999,00  S WATER ST,LIBERTY,64068,,OSPD,N,ARR CHA,W,M,35,false,
KC19038719,05/25/2019,20:28,05/25/2019,02:00,05/25/2019,13:00,Property Damage,290,Vandalism/Destruction of Property,243,8100  80TH ST,KANSAS CITY,64138,,MPD,N,VIC,B,F,24,false,
KC19038801,05/26/2019,06:12,05/26/2019,02:21,,,Stolen Auto,240,Motor Vehicle Theft,635,4300  N CORRINGTON AVE,KANSAS CITY,64119,PC1130,SCP,N,VIC,,,,false,
KC19039081,05/27/2019,08:35,05/27/2019,12:40,,,Trespass of Real Property,90J,Trespass of Real Property,535,14500  BOTTS RD,KANSAS CITY,,,,N,ARR CHA SUS,W,M,72,false,
KC19039115,05/27/2019,15:16,05/27/2019,15:16,,,Property Damage,290,Vandalism/Destruction of Property,,900  E BANNISTER,KANSAS CITY,,,,N,VIC,B,F,27,false,
KC19039221,05/27/2019,22:40,05/27/2019,22:40,,,Possession of Drug Paraphernalia,,,312,I 435 HWY NE and WINNER RD,KANSAS CITY,64123,PJ0548,EPD,N,ARR CHA SUS,W,M,34,false,
KC19039328,05/28/2019,10:43,01/02/2019,00:01,05/28/2019,09:30,Fraud / Stealing Through Deceit (Scam/Confidence Game),26E,Wire Fraud,341,1400  TOPPING AVE,KANSAS CITY,64126,,,N,VIC,,,,false,
KC19039397,05/28/2019,11:54,05/28/2019,14:00,05/28/2019,14:49,City/Municipal Warrant Arrest,,,999,00  NE TUDOR RD,LEES SUMMIT,64086,,OSPD,N,ARR CHA SUS,B,M,28,false,
KC19039465,05/28/2019,18:38,05/28/2019,18:40,,,Trespass of Real Property,90J,Trespass of Real Property,113,1700  GRAND BLVD,KANSAS CITY,64106,PJ1467,CPD,N,VIC,,,,false,
KC19039510,05/28/2019,22:37,05/28/2019,22:37,,,Vehicular – Injury,,,343,E I 70 HWY E and JACKSON AVE,KANSAS CITY,64126,PJ2395,EPD,N,ARR CHA VDR,B,F,19,false,
KC19039547,05/29/2019,04:05,05/29/2019,04:05,,,Possession/Sale/Distribution of a Controlled Substance,,,314,INDEPENDENCE AVE and QUINCY AVE,KANSAS CITY,64124,PJ0733,EPD,N,ARR CHA SUS,W,F,19,false,
KC19039699,05/29/2019,16:05,05/24/2019,14:59,05/25/2019,12:00,Stolen Auto,240,Motor Vehicle Theft,343,E 30TH ST and CYPRESS AVE,KANSAS CITY,64128,PJ2437,EPD,N,VIC,,,,false,
KC19040049,05/30/2019,19:02,05/30/2019,19:16,,,Legacy Incident Report/Arrest,,,322,1300  VAN BRUNT BLVD,KANSAS CITY,,PJ1295,EPD,N,SUS,W,M,21,false,"1300  VAN BRUNT BLVD
KANSAS CITY
(39.096513, -94.523324)"
KC19040179,05/31/2019,08:29,05/31/2019,08:10,,,Vehicular – Non-Injury,,,111,UNION AVE E and MULBERRY AVE N,KANSAS CITY,64101,,CPD,N,CHA VDR,W,M,60,false,
KC19040287,05/31/2019,14:48,05/31/2019,14:48,,,Vehicular – Non-Injury,,,535,S US 71 HWY and E M 150 HWY,KANSAS CITY,,,SPD,N,ARR CHA SUS VDR,W,M,21,false,
KC19040399,05/31/2019,22:40,05/31/2019,22:41,,,Trespass of Real Property,,,,00  E 53 ST,KANSAS CITY,,,,N,VIC WIT,W,F,56,false,
KC19040525,06/01/2019,15:27,05/31/2019,21:30,05/31/2019,22:30,Stealing from Auto (Theft from Auto),23F,Theft From Motor Vehicle,134,W 47TH ST and J C NICHOLS PKWY,KANSAS CITY,64112,PJ3594,CPD,N,VIC,,,,false,
KC19040552,06/01/2019,15:58,06/01/2019,15:58,06/01/2019,17:58,City/Municipal Warrant Arrest,,,221,5600  HARRISON AVE,KANSAS CITY,64110,,MPD,N,ARR CHA SUS,W,F,31,false,
KC19040585,06/01/2019,19:59,06/01/2019,19:59,,,Vehicular – Non-Injury,,,132,W 39TH ST and BROADWAY BLVD,KANSAS CITY,64111,PJ3045,CPD,N,ARR CHA VDR,W,M,23,false,
KC19040619,06/01/2019,22:04,06/01/2019,21:36,,,Robbery (Armed Street),120,Robbery,525,14500  S 71 HWY,KANSAS CITY,64147,,SPD,N,SUS,B,M,,true,
KC19040640,06/01/2019,23:31,06/01/2019,23:31,,,Robbery (Armed Street),120,Robbery,313,3600  THOMPSON AVE,KANSAS CITY,,PJ0518,EPD,N,VIC,W,F,57,true,"3600  THOMPSON AVE
KANSAS CITY
(39.107707, -94.538838)"
KC19040691,06/02/2019,04:30,06/02/2019,04:20,,,Robbery (Armed Street),120,Robbery,343,5100  E LINWOOD BLVD,KANSAS CITY,64123,PJ2520,EPD,N,SUS,B,M,,true,"5100  E LINWOOD BLVD
KANSAS CITY 64123
(39.069377, -94.523636)"
KC19040818,06/02/2019,17:31,06/02/2019,17:31,,,Assault (Aggravated),13A,Aggravated Assault,332,3600  E 37TH ST,KANSAS CITY,64128,,EPD,N,VIC SUS,W,F,,false,"3600  E 37TH ST
KANSAS CITY 64128
(39.058672, -94.5419)"
KC19040937,06/03/2019,06:02,06/03/2019,08:10,,,Stealing – Shoplift,23C,Shoplifting,345,11600  E US 40 HWY,KANSAS CITY,64133,PJ3601,EPD,N,VIC,,,,false,
KC19041004,06/03/2019,09:49,06/03/2019,09:40,,,Vehicular – Injury,,,643,N HUNTER AVE and NE 101ST ST,KANSAS CITY,64157,PC0207,SCP,N,ARR VDR,W,M,18,false,
KC19041098,06/03/2019,13:34,06/03/2019,15:26,,,Domestic Violence Assault (Non-Aggravated),13B,Simple Assault,635,4400  N RANDOLPH RD,KANSAS CITY,64119,,SCP,Y,VIC,W,F,45,false,
KC19041250,06/04/2019,00:15,06/04/2019,01:06,,,Outside State Warrant Arrest,,,411,00  NE 50TH CT,KANSAS CITY,64118,,NPD,N,ARR SUS,B,M,27,false,
